User,Location,Rating,Date,Content
Jun Li Z.,"Seattle, WA",5,2/29/2020,"Came here with my girlfriend last Sunday and their croissants are hands down, the bomb! I have been to Cafe Besalu, Princi (Starbucks bakery), Pike Place's bakeries, as well as few other bakeries in Seattle and this place has the best croissants I have had as long as I can remember.  Why is it good? It's crispy and crunchy on the outside, and its textures inside are soft once you bite into it. Not soft like a-day-old or a few hours old croissants. These were fresh and I don't think they mess with pastries. It is no wonder it's five stars!I ordered their custard filled croissants and that is by far the best kind. I got the pistachio croissant and it is not that great. I wasn't a huge fan of that flavor or their tzatziki cheese croissant which I got to go. I ordered a chai latte with soy and that was also prepared well. I'd come here again!"
Stephanie A.,"Monroe, WA",5,7/6/2020,All I can say is Wow!  I love their Earl Grey Croissant!  There are so many wonderful items to choose from that you just have to go and try something.
Sara C.,"Seattle, WA",5,7/5/2020,Amazing French patisserie with modern twists on the classics. Beautiful and delicious.
Annabelle A.,"San Francisco, CA",5,7/11/2020,Best pastries ever! Staff is friendly and the pastries are not only delicious but spectacular in aesthetics! Cute inside great coffee and hot chocolate I go here with my mom every time she visits Seattle from Florida she can't miss it!
Vision L.,"WA, WA",5,11/24/2019,"So good. If you're a carb-phile like me, this place is for you! We stopped by for breakfast before the Woodland Zoo bc I can't resist unique-sounding croissants. Everything just tasted frickin' delicious: Earl grey croissantSavory mushroom galleteSavory egg and sausage galleteBlueberry lemon danishPain au chocolatThe end of the meal was one of those moments where I wished I were a cow just so I could have 3 other stomachs to fill. Note: Kid-friendly in terms of kid chairs but no changing table in bathroom."
Tracy A.,"Kirkland, WA",5,11/20/2019,"I'm still dreaming of the pistachio croissant I had.  It was just the right texture, just the right chew, a dusting of pistachio on the outside, and a creamy, smooth, flavorful pistachio filling on the inside.  The cheese galette with raspberries was delicious as well.  The cases are a stunning visual display of decadence that left me awestruck and dumbfounded.  I can only return and keep returning until I've tried absolutely everything they have to offer in addition to getting the pistachio croissant each and every time.  If I had to knock them on anything, there was no where to sit because every table was occupied."
Lydia L.,"Seattle, WA",5,5/29/2019,"*** 4.7s stars ***We shared one pistachio croissant, one cream cheese & berries, one cruffin, and one raspberry chocolate mousse (recommended by the staff)).Favorites - 1. Raspberry chocolate mousse!!! Fine and smooth, rich but not overwhelming, delightful but not overly sweet. Subtle flavors of raspberry and chocolate perfectly fuse with each other, giving the best dynamic.2. Cruffin - love love love the fruit jam and cream inside the cruffin! So creamy, so fruity, yet perfectly balanced with each other. I was never a huge fan of cream or fruit jam but this was too good to not have. Average -Pistachio Croissant and Cream Cheese & Berries. I expected much more from these two but was let down a little. Great vibes, very cute and organic interior decor. I wish it was closer to downtown area so I could visit more often."
Ann D.,"Renton, WA",5,10/28/2019,"Just fantastic. I loved my first taste so much, I dragged my husband here three days later to eat their early grey croissant again.  Everything here is perfectly executed, beautifully presented, and tastes wonderful, without being too sweet.  It rivals patisseries in France.Obviously, my favorite was the earl grey croissant, which is a light and flaky croissant filled with a fragrant earl grey cream.  The creme brulee danish is a discovery, and the kouign aman is a classic done right.My first time here was on a Thursday morning at 7am, and I had the pastries packed up to go.  On my second time here, my husband and I stayed to eat our sweets on the premises.  We also tried their chai, which is a generous serving of housemade tea which has a lovely warm bite to it.  Their cafe vennoise was enjoyed by my husband.Service is always very friendly.  The bathroom is unisex and clean.  Street parking was easy on both occasions that I came to visit.  For what you get, the prices are reasonable and comparable to other pastry shops.My only complaint?  I wish Celine wasn't so far away from my home!"
Katy B.,"Jacksonville, FL",5,7/14/2020,best breakfast sandwich ever! everything is delicious and the staff rocks. thanks Alex!
Diksha N.,"Seattle, WA",5,4/14/2019,One of the better french bakeries I have been to in recent months. The location is nice and it has a good vibe with adequate space. I went in looking for the orange baked goods but they ran out of it. I had the custard filled cruffin with dark chocolate and it was super yumm !. The croissant was flaky and buttery with the custard not being too sweet while the chocolate being a good balance between milk and dark. Had the mocha too which was really good too ! Loved the service and the seating with tulips and rainier paintings. Will definitely go back there for brunch and try to get what they ran out of !
Tiffany Z.,"Seattle, WA",5,4/2/2019,"My bff got me a box of goodies from here and I think I'm in love! I got the pistachio croissant, raspberry mascarpone cruffin, and fruit custard danish. The fruit (blueberry) custard danish was surprisingly not sweet at all! Very flaky with natural sweetness from the blueberries. The pistachio croissant was light and flaky with a densely packed pistachio paste. It was not sweet and a nice nutty taste! The raspberry mascarpone was the sweetest of them all. It's sugar coated with lots of unnecessary sugar, making a big delicious mess. The raspberry jam was very sweet but when eaten with the mascarpone filling, it balanced out nicely! I use to think bakery Nouveau was the best croissant spot but after trying Celine, I'm not too sure anymore! It's a lot lighter and less sweet in comparison!"
Phuong T.,"San Francisco, CA",5,5/30/2020,"Try their croissants - any or all of them!!! The croissants are super fresh and flakey, I constantly compare any croissant I have to Celines's and they definitely set the bar high on quality and taste. The coffee is great here too, I usually get a vanilla latte and if hungry, I'll get the ham and Brie croissant sandwich which comes with a side of veggies and extra Brie on top of the croissant, a little extra Brie? Why not!! You may see the owners working on a daily bases and they're amazing at what they do."
Le T.,"Seattle, WA",5,10/13/2019,"The best the best guys. Its a small humble shop on a busy business street. The store is quite hard to see so drive slowly you will see it. The staffs were frienly and helpful. There are a variety of cakes and pasties food. The display and decoration just gave me a good impression of how much they love their job. The cake was creamy and not too sweet. The pasties and sandwiches, all of the ingredients were just enough to not overwhelming other flavors. The coffee was okay, but I am not a daily coffee drinker so you might find its good. Overall, this is a hidden gem, give it a try guys."
P J.,"Bellevue, WA",5,4/14/2019,YUM!!!!! That is all I have to say. So I happen across the Yelp profile as I saw scrolling through looking for a good bakery and Celine popped up. I was shocked and the number of ratings vs it's rating itself. Very impressive and I understand why. They had some amazing creations and combinations of flavors. So many that I have to come back to try more. I really liked how they had danish-like croissants that were also savory. All the ones I have with my friends were amazing. No soggy pastry. All were flaky and crispy. I am definitely going back to try others.
Leah F.,"Seattle, WA",5,4/8/2019,"I can't even begin to describe how much I love this bakery. It's probably one of my favorites in all of a Seattle. It has a small neighborhood vibe too it which I adore and makes me very happy. The people that work there are always so so friendly and make the experience even better. Let me just say this now hands down some of the best croissants you will ever have.. ever. I have had croissants in Spain and France and this place definitely compares to some of the top best I've ever had. The flavors of the croissants often change keeping it super fun and exciting. Some of my favorites I've had here is the pistachio and berry mascarpone croissants. I'm just so glad they have such a unique selection because it can be hard to find that sometimes. They also serve croissant sandwiches which are also amazing!! I can't explain but some how they have perfected the art of perfectly flakey, tasty bakery items. Every single thing I've had from here has been amazing and it keeps me coming back for more. The breakfast galettes amazing, the quiche amazing, mocha amazing, fresh squeezed orange juice amazing, you probably get it by now.. everything is so amazing I want to cry. Beware once you go here you will have a new favorite which you crave every weekend.. and you might go in saying you are only going to get one or two things but good luck because you will walk out with more then your belly can handle, trust me!"
Nancy W.,"Seattle, WA",5,8/8/2019,"Now THIS is a european-style bakery! It's absolutely fantastic, out of this world and everything in between. In the pictures I have posted with this review, you can see layer upon layer of the puff pastry and I don't think I've ever seen so many in my life at any patisserie. I sampled three or four items and my only suggestion would be for the jelly filled pastry to be filled all the way down to the bottom so that you can enjoy every bite. The owners are husband and wife, (forgive me if you're not) and they were the most pleasant people to talk with. They also take so much pride in what they do and it shows in every bite. Atmosphere is very welcoming and the display cases are absolutely beautiful. I've already been here a few times, bringing friends who never knew about this place. A MUST GO TO!!!"
Karen L.,"Seattle, WA",4,8/16/2019,"The pastries and desserts here are pretty unique, and best of all, delicious! My husband and I had the strawberry pistachio croissant, creme brulee danish, and a lemon tart. They were all delicious, especially the creme brulee danish! Yum! I'd love to try their other pastries. All the little cakes looked super delicious and also very visually appealing. For example, our tart had a little lemon shaped cream thing on top, which was so cute! It was very creative and super fun. I definitely recommend this patisserie."
Jesena M.,"Bellevue, WA",5,2/17/2020,"Amazing little shop that has some of the best pastries and desserts in the area. My husband was so in love with his Nutella Croissant, he said it's been the best he had in a long time. I had one of their mousse desserts and oh my - they are a decadent treat! The place also has this cute feel, totally worth the drive and staff is super friendly."
Preetha A.,"Seattle, WA",5,12/26/2018,"Excellent quality, good service and fantastic selection. Each time we come here we try something new and are never disappointed. You can see that they are very skilled and each item on their bakery shelf, pastry shelf is sheer perfection. Every week, they add something new. I love how they are constantly innovating and adding creative items to their menus. I would rate this the best bakery in seattle- hands down.My recommendations: Croissants- any of them, they have a fantastic butter croissant that is just the right amount of flaky and crunch, without being too heavy on the butter . Other bakeries make them too dry where they crumble all over you without each bite and there is nothing to bite into. They have pistachio, almond , nutella and some other unique seasonal ones. Galettes- their goat cheese galette is always a solid winner. They have sausage, ham and other variations.Other solid winners- ham and brie sandwich, their tarts for those with an ultra sweet tooth, macarons and so much more. Great coffee Lastly, the service and amazing welcome you get from the folks behind the counter who also happen to be the owners- thats the icing on the cake. Our go to weekend spot, anytime of the day. Their mini financiers using almond meal are just the right amount of crumble and sponge cake texture. It feels like you are the judge in the great British Baking Competition or a similar show. You actually get what they are talking about when you experience it here."
Ashwin R.,"Seattle, WA",4,7/4/2019,"Celine has become an abolute jem of a neigbhorhood cafe, and its pastries are among the best in the city. The specialty croissants are wonderful, though you may find better standard butter croissants in town (Seawolf, Rosellini's come to mind). That being said, the diversity and drinks offered put this at the top of the list of any pastry officionado."
Milena B.,"Seattle, WA",5,12/25/2019,"My new favorite place in the city. This place ticks all the boxes: cute and warm interior, excellent coffee, pastries, savory options, and desserts. I've tried the pistachio, earl grey, and nutella croissants. The earl grey was my favorite. Not too sweet bit delicious. I'm no quiche connoisseur, but the mushroom quiche was fantastic. Egg and bacon gallette was equally delicious. The raspberry marscapone cruffin was a little sweet for me, so I think it's perfect for cutting in half and sharing. Or save for the next day! My most favorite item so far; the strawberry white chocolate mousse bar. Not completely certain that's what it's called, but it's a white bar displayed with the desserts. It's rich, smooth and everything you'd want in a dessert. Also, my americano was perfect. It's worth a visit just for the coffee. It's rare to find a place that does everything this well!"
Mitchell V.,"Seattle, WA",5,6/28/2019,"I love pastries. Pastries are worth getting up at 7AM on a Saturday and that is exactly what I did. A French family behind me in line said I made the right choice by coming here. Their tagline is modern traditional and that is a perfect way to describe this place. The croissants are airy, flaky and buttery just like you want them but come in fun flavors like baklava or pistachio. The fruit tarts are extensive in variety. They are delicate with fruit and custard yet rich with the chocolate base and the dense dough that acts as a vessel for it all. However, the real winner was the creme brulee croissant. I don't really know how to describe it other than saying what I started with. It's worth waking up at 7AM on a Saturday."
Jessica G.,"Seattle, WA",4,12/9/2018,"What a great little right and really close to my neighborhood!There is no shortage of tasty French treats here. From cookies to cakes, they have it all. Particular favorites are cruffins (flaky pastry filled with cream) and fruit tarts. Always fresh, sweet, and delicious. There is also a full espresso bar, so you can sip your caffeinated beverage of choice. The inside is pretty modern and very clean but also inviting. There are books on the shelves that patrons are welcome to read while hanging out. While it's not huge, it's spacious enough for quite a few people to lounge. Decently priced and conveniently located to the Phinney area and the zoo. I will definitely be back!"
K S.,"Seattle, WA",3,7/4/2020,"This is a pretty place with pretty pastries. I tried an almond croissant and a raspberry cruffin. They both had the texture of a soft bread rather than a buttery croissant, and I did not get the wonderful aroma and taste of butter, nor the crunch of crust, that come with a traditional French almond croissant. So I will henceforth go down the street, where butter is abundant."
Yen D.,"Seattle, WA",5,4/30/2019,"Definitely get the pistachio and baklava croissant.  They have various flaky pastries.  We did try their raspberry and cream croissant but with the sugar in it combined with the American type sweetness of the cream and jam, I felt like it was too sweet for me."
Kat L.,"Seattle, WA",5,9/26/2019,"I was recently introduced to this patisserie, and I love these pastries!  I had a box of 3 pastries and ate them all within 2 hours.  I didn't even remember to take pictures.  I intended to share these, but they were all in my stomach before I got home.  I ate one custard and berries galette, one raspberry mascarpone cruffin, and one swiss cheese mushroom galette.  The swiss cheese mushroom galette was my favorite!  I have not had a more delicious mushroom pastry, and I love mushrooms.  The mushrooms are soft, tender, and flavorful.  They are not overcooked and chewy.  The pastry had a slight sweetness which was surprising. The Cruffin is interesting.  It's a flaky pastry muffin filled with raspberry jam and mascarpone cream.   There is a little too much jam which made it sweeter than I like, but it is balanced by the soft cream.  It was a similar idea to the custard and berries galette.  This was like a Cruffin split in the middle.  A buttery flaky pastry with a smear of custard and decorated with berries on top.  I wish I lived closer to Celine Patisserie, but it's probably better for my health that I don't."
Wendy S.,"Seattle, WA",5,11/6/2018,"I got here at 3:49 (they close at 4) and I was able to pick up the last few butter croissants! They were baked to the perfect color....flakey, dark caramel color on the outside, soft and fluffy with many, many layers of bouncy dough inside. It was really good when I toasted it at home! I will be coming back soon to try out the flavored croissants, but I wanted to start with the basic butter croissant to get a feel for this patisserie. I love croissants! I would recommend this place to all croissant lovers! Their tarts looked really good too but it was 1.75 for a small and 5 dollars for a large. Kind of steep...but I'll probably still try it one time!"
Jen C.,"Seattle, WA",5,11/3/2018,Amazingly delicious pastries and they make you feel so welcome being there. I am so glad there's this little gem in North SeattleOn top of that they ran out of the chocolate croissant and I was super sad. As I was about to leave a new batch came out. The lady at the cashier gave me one and refuse to let me pay for it. Super nice folks
A B.,"Fort Benning, GA",5,6/9/2020,"We drove an hour to get here on a rainy day to celebrate DDay with some French pastries. We met one of the owners and he was so kind. The pastries were aesthetically perfect and they were absolutely delicious. Loved the coffee as well! Adding it to my preferred list for Seattle without a doubt. Cute neighborhood too, could be fun for coffee and a treat followed by some shops!"
Allie F.,"Tucson, AZ",5,8/28/2019,"I would die for this place. No joke, no dramatics, I am in love. I crave it everyday and will never find anything like it in Tucson. When I get back to Seattle I cannot promise that I won't eat this every single day. We got the sun-dried tomato gallette, passionfruit tart and raspberry mascarpone cruffin. Where to even start....The gallette? Perfect amount of crunchy flakiness. A perfect savory flavor to have after all the sweets. The passionfruit tart, UGH, I LOVE passionfruit. This was very clearly made with actual passionfruit, not that straight sugar mess. It was perfectly tart and sour while also maintaining sweetness. And the cruffin is something I dreamed about but didn't know that I truly needed it in my life until I had it at Celine. Whenever friends travel to Seattle and ask me where to go, I practically shout at them to haul a*s over here, lol."
Tori Z.,"Seattle, WA",5,4/16/2019,"Hidden Seattle gem, nestled away on Phinney Ridge this is one of the best if not the best pastry shops in Seattle. This french bakery has everything you're looking for from tasty croissants, to galettes, and french takes on more American treats. My favorite pastries are the monkey bread, bacon breakfast galette, and of course any type of croissant. The pastries are so good I can picture myself back in France. They also have a great dessert case with tarts, mousses, and ganaches."
Michael A.,"Shoreline, WA",4,3/31/2019,"Solid amandine croissant! The croissant was generously filled with the characteristic sweet almond paste I love in almond croissants and covered with an ample amount of almonds. I especially loved the crispy bits on the end! I say the croissant was pretty decent, but I do wish it were a little flakier on the inside--it was a bit too saturated by butter, if that makes sense. Still, overall good! The americano (to pair with the croissant) was also nice and smooth.The place definitely has a nice, neighborhood feel to it and vibe -- lots of families dropping by to partake of morning pastries (at least on Sunday)."
M S.,"Oakland, CA",5,8/16/2019,"I visited Celine once yet, and I already want to come back asap. I had one swiss cheese mushroom galette, one raspberry mascarpone cruffin and a chai latte. The mushroom galette and the chai latte were so very good!!! Like the best chai latte in my life cause for me it's been kinda hard to get a decent rich flavored chai latte anywhere..! I defo revisit Celine!"
Thao N.,"Seattle, WA",4,8/3/2019,Beautifully crafted egg and bacon galette (~$7.50). The perfectly flaky pastry combined with the toppings made it a great savory breakfast item. The pastry was as flaky as my most flaky friends LOL. The texture made each bite fun. The egg yolk was fully cooked but still had a silky taste. The bacon tastes pretty generic but added a great savory layer. The basil pieces were a nice touch and added a necessary flavor profile. I'm not a fan of tomatoes but it went pretty well with all the other toppings. There are a few tables inside the store so you can sit and enjoy your pastry! The staff was nice and offered to warm the galette so definitely ask if you'd like yours more toasty! They had a variety of savory and sweets pastry/dessert that were pleasing to the eyes. I can't wait to go back to try more! A must try bakery in the neighborhood! You can find parking behind the building in the neighborhood blocks.
James T.,"Shoreline, WA",5,4/29/2018,"Craving for European pastries? A visit to Celine patisserie is your best bet! Strategically situated near Greenlake, this place is often teemed with both pastries pundits and neighborhood locals alike.They have abundant options but are mainly known for their croissants, tarts, galettes, danishes, cheesecakes, and macarons. The croissants and galletes I've tried were first-rate! They were buttery, flaky, crispy, and not too sweet/salty! My personal favorites are the matcha marscapone croissant, babka croissant, and bacon galette (make sure you ask for fried egg on top of your galette, it's a game changer!) The lemon meringue tart was also flavorful and refreshing!Don't forget to get a cup coffee or tea for a complete European patisserie experience! Owners / staffs are also very insightful and amiable. A 5-star experience indeed!"
Sugandha S.,"Seattle, WA",5,8/24/2019,What a great collection of pastries. I loved the Earl grey croissant and the bacon sandwich. We had the creme brulee Danish too and it was so good. The people are really nice here.. I am a big fan of this place.  No wonder this is rated 5 stars.
Adam K.,"New York, NY",5,7/27/2019,"Phenomenal coffee, even more phenomenal people, sinfully delicious pastries... A neighborhood staple and much deserving of all 5 stars and it's steady stream of repeat customers. Immaculately clean and comfortable inside with an extensive menu of options and in-house baked treats. YUM!"
Tom V.,"Seattle, WA",5,5/23/2020,"Celine Patisserie was already one of my favorite cafes in Seattle before the pandemic--the space is friendly and open yet cozy, the staff is great, and the pastries are simply the best around. But the way they've adapted to the quarantine conditions has put them firmly in the top spot for me. Their website is easy to use, updates frequently, and the system just hums along. Having them around during this time has been a godsend."
Chad R.,"Greenbelt, MD",5,10/1/2019,"This is my favorite coffee shop in Seattle. The crew at Celine are consummate professionals in their craft and besides their excellent service, they are also the best bakery in Seattle.I've had friends from all over the world come visit me in Seattle and I always recommend they check at Celine. They are never disappointed."
Marty J.,"San Francisco, CA",5,5/23/2020,Had a chance to try a good selection of pastries from here lately.  Remarkable quality and flavor.  A true gem in Greenwood and only a few blocks away!
Mojdeh S.,"Seattle, WA",5,2/5/2018,"How I heard of this place: Walking by on a lovely summer morning, I noticed that the once-(always closed, never open) wine store located in this space had become a beautiful, inviting, warm coffee shop and bakery. I knew I had to return. And stat.Type of cuisine: French, buttery baked goods for breakfast, brunch and any time.French macarons, tarts and cakes to take to a party or home for a special evening grace the enticing, glass displays surrounding the kitchen area, where owner/baker extraordinaire creates her beautifully delectable pastries. A grand selection of Illy espresso beverages, as well as refrigerated juices, sodas and the like.Ambiance: Open, inviting, spacious and clean, a modern and welcoming European cafe awaits patrons to enter its glass doors, just beyond the small outdoor patio. Indoors, a floor-to-ceiling shelving unit is built into the wall, where ornaments are sparingly displayed.Tables with chairs for small and large parties are available for seating immediately ahead, and to the right, complete with banquette at the windows for street-facing, people watching seats. Lights are dim and the floor-to-ceiling windows facing Greenwood Avenue add natural lighting to round out the ambient nature of the patisserie.Order at the corner of the display counter, and await your beverages and warmed pastries to the right. For drip coffee and accoutrements, continue to the right, past the tavolata, where you can dress your beverage and return to find your seats.What I ordered: On my second visit in, I sampled the Cheese & Onion ""Croissant"" ($3.80) with a small (8oz) mocha.On a return visit, Thursday, 11 January 2018: After returning a number of times, I remembered to take photos of a subsequent visit's loot. For my husband, Quiche Lorraine ($6.80), for me a broccoli-cheddar quiche, and for our little one, the Breakfast Gallette.We must have grabbed our beverages too soon,as we were graced with shot glasses of whipped cream on the side of our 12-ounce Mocha, 12-ounce Hot Chocolate, and 20-ounce Caramello!What I loved: Everything. The butter, flaky, golden pastry to the flavorful and abundant filling satisfied with each bite. The mocha, creamy and dark.Why I loved it: The friendliest, most hard-working owners to have graced a Seattle bakery, remembering me each time I visit, asking about my family, friends (who live in the condos above), and thanking me for returning. Well, of course! With pastries and service this good, I'll be back. Again and again.Cost: Average ($3 - $6 per pastry; $3 - $6 per espresso beverage)"
Ashley K.,"Seattle, WA",5,7/2/2018,"Loved this place. We picked it out after a rave review in some local foodie publication (Eater? Seattle Met?) that called it 'an adventure.' So, off we went with a couple other friends to have a bakery adventure. The four of us all shared a little bit of everything: ham and cheddar croissant, chocolate hazelnut croissant, baklava croissant (!), Monkey bread and the favorite: strawberry mascarpone. It was creamy and not too sweet and perfectly flaky. Everything else also hit the spot, but that one was a perfect balance of flavors. I enjoyed the baklava croissant, as it's hands down one of my favorite desserts. This was good, but I would have liked to have had a little more filling.Besides the great pastries, the place was open and not too crowded, which I really appreciated. Oftentimes places are packed to the brim with noise and it makes it hard for me to relax and enjoy my morning bite. This was a good level of calm to customers. It was also very clean, and the folks were nice"
Tom A.,"Seattle, WA",5,2/29/2020,The best croissants I've had outside of France. Breakfast sandwiches are really tasty too. Good coffee and nice atmosphere!
Marcela V.,"Seattle, WA",5,6/20/2019,"I've really been meaning to go to this place more often. It is a short walk from my house and has the most delicious selection of pastries and coffees. It is the perfect Saturday morning coffee shop to stop by with a good book. They also have a little bit of outdoor seating, so you can bring your dog if you sit outside. They have so many options as far as pastries go, both sweet and savory. I personally have had the quiche and it's amazing."
Catherine L.,"Seattle, WA",2,7/7/2019,"I was really looking forward to this. But was disappointed. The pistachio croissant tasted like it was a day old, with a slight fridge taste. And I tasted the free scone, I am glad it was free. Because I would have been annoyed to have paid money for it, it definitely was a day old"
Lauren G.,"Denver, CO",5,6/26/2019,Wow - that might have been the best croissant I've ever tasted. I got the chocolate hazelnut (not to be confused with the Nutella) and it was mind blowing!  Crispy and flaky and buttery like a real French croissant should be!  So delicious. Lots of chocolate and hazelnut balanced perfectly with the pastry. I wish I would have tried more stuff! I don't live near here but this place might be worth the detour back!
Jeehae H.,"Seattle, WA",5,5/8/2019,"This is a French style bakery where the pastries are not too butterysweet but just right. We tried both fruit tarts (blueberry and rasberry), creamcheese berries pastry, and a chocolate mousse cake. Premium quality desserts and I just know that other pastries will taste just as good. Definitely worth the trip to this gem."
A G.,"Southern California, CA",1,5/10/2020,"The worst service I have EVER received. I called before ordering online to ensure they could deliver the next day. They said yes just put the address in the notes when you order. On their website they have the zip codes the deliver to and the one I needed was listed. I placed the order and when receiving a text saying it was ready for pickup I called and asked about it. The man told me no they don't deliver to that zip code and when I told him I called before and it was listed on their website that they deliver to that zip code he yelled at me and said its 14 minutes away and continued yelling over me and said I didn't understand. I have never been belittled and treated so horribly by a person. Terrible customer service, you do not yell at your customers and not let them speak especially when the info speaks for itself on the website."
Julie L.,"King, WA",5,5/21/2019,"What makes a great bakery? Delicious baked goods that I could no way possibly make myself and nice people and a clean environment. Hemp milk as an alternative would also be awesome but I won't knock them a star for that. Employees nice despite a little snippy attitude on my part. Great variety of savory and sweet baked goods to choose from. I had the fruit danish, reheated. I shared with my gf who is part French and she exclaimed, ""oooh, that crust!!"" The pastry was flaky with density goodness. Space is large for ample seating. Dogs have some patio space, too. Looking forward to my next visit. I do believe the creme brulee pastry had my name on it."
Desiree C.,"Seattle, WA",4,10/26/2018,"So. Many. Pastries. Not. Enough. Room. In. My. Stomach. Great patisserie in a quaint little neighborhood. The owner here is super helpful and kind. We asked so many questions about their pastries cause we were so indecisive about which delicious concoction to order. Not only was he patient with us, but made great recommendations about what to order! If you want to get the full experience, definitely come in closer to the morning because sometimes they run out of pastries and stop baking those for the day (we came in late afternoon and they had run out of a few of the pastries that they were known for).Really enjoy getting work done here as their work space is nice and open and it never gets so busy that it's too loud to get things done. Nothing beats a warmed up pastry paired with a cup of hot coffee and getting a load of work done!"
Magdalena R.,"Toronto, Canada",5,9/26/2018,"What a great find! We had some out of town visitors, and we stumbled into to this little fantastic cafe after exploring Seattle. The owners were so nice and welcoming. I stood there trying to decide on what amazing pastry to eat for what seemed like forever. It was NOT an easy choice. Everything looked picture perfect, and smelled beyond yummy. I went with the peach pastry. It was perfection. Fresh, crunchy, soft, gooey, not too sweet. Paired with a perfect macchiato. My taste buds and belly were in heaven."
Rachel K.,"Seattle, WA",2,4/11/2019,"I'm so surprised by the reviews of this place. Please know: I really *want* to like it. The space is gorgeous and the location really needed a coffee shop. The pastries are ok, but they're a far cry from Rossellini's or Fresh Flours. But the coffee...the coffee is T E R R I B L E. Consistently. But this week it was undrinkable. I keep trying to get fancier: americano - blah, so maybe I'll add some milk. Latte - over-milked, what happened to my coffee? Cortado - could you burn the coffee any more?"
Nicole H.,"Lynnwood, WA",5,5/12/2019,Some of the best croissants and tarts in the city! The seating inside is comfortable and inviting--I love the large bookshelf with art/books/etc. and the open windows which allow for lots of light. The staff are friendly and parking is easy in the neighborhood.
Derek P.,"Seattle, WA",5,11/11/2019,The type of pastry shop where you leave with one sweet item in hand thinking 'what other days of the week do I have time to visit and try something else?' The strategic placement of smaller pastries closer to checkout will manipulate you into walking away with tiny sweet snacks for later. You've been warned.
